a	手	扌手
摔	axs	扌玄十
攛	axs	扌穴鼠
摽	axs	扌西示
撡	axs	扌心厶
掖	axt	扌夕亠
揌	axt	扌心田
挖	axv	扌穴乙
捻	axv	扌心人
摁	axw	扌心囗
挡	axx	扌小彐
拸	axx	扌夕夕
摉	axx	扌穴夕
摺	ayb	扌羽白
攧	ayb	扌頁八
拔	ayd	扌又丶
扰	ayd	扌尢丶
捕	ayd	扌用丶
撲	ayd	扌业大
擔	ayd	扌言刀
扠	ayd	扌又丶
攣	ayf	手言糹
拭	ayg	扌弋工
揞	ayh	扌音一
抜	ayh	扌又一
擈	ayi	扌业木
报	ayj	扌又卩
搜	ayj	扌又臼
捜	ayj	扌又臼
拥	ayl	扌用丨
择	ayl	扌又丨
拗	ayl	扌幺力
攫	aym	扌又目
撷	ayo	扌页口
擷	ayo	扌頁口
挺	ayp	扌廴丿
扳	ayp	扌又丿
挻	ayp	扌廴丿
撸	ayr	扌鱼日
擼	ayr	扌魚日
摱	ayr	扌又日
摎	ays	扌羽彡
挧	ayt	扌羽√
拨	ayv	扌又乙
捅	ayv	扌用乙
抝	ayv	扌幺乙
撐	ayx	扌牙小
掓	ayx	扌又小
掇	ayy	扌又又
揵	ayy	扌廴聿
授	ayz	扌又爫
摊	ayz	扌又隹
擢	ayz	扌羽隹
攓	azb	扌足宀
挝	azc	扌辶寸
摙	azc	扌辶車
挞	azd	扌辶大
摇	azf	扌爫缶
捀	azf	扌夂丰
搎	azf	扌子糸
推	azh	扌隹一
扯	azh	扌止一
拵	azh	扌子一
挃	azh	扌至一
撝	azh	扌爫灬
拠	azj	扌夂几
搯	azj	扌爫臼
揺	azk	扌爫凵
擕	azk	扌隹凵
擿	azl	扌辶立
搉	azm	扌隹冖
抓	azn	扌爪乀
技	azn	扌支乀
捉	azn	扌足乀
挼	azn	扌爫女
搬	azp	扌舟殳
携	azp	扌隹丿
搥	azp	扌辶丿
搫	azp	手舟殳
搝	azq	扌自犬
擡	azs	扌至士
挬	azs	扌子十
捘	azs	扌夂厶
撾	azt	扌辶冂
撻	azt	扌辶土
掕	azt	扌夂土
攡	azt	扌隹亠
攤	azu	扌隹艹
掙	azx	扌爫彐
擾	azx	扌夂心
捗	azx	扌止小
援	azy	扌爫又
捷	azy	扌疋聿
捊	azz	扌爫子
摓	azz	扌辶夂
财	bap	贝扌丿
贽	bap	贝扌丿
財	bap	貝扌丿
兿	bas	丷扌厶
癴	bay	疒手言
鬓	bbb	髟宀八
鬢	bbb	髟宀貝
赑	bbb	贝貝貝
寊	bbb	宀貝卜
皛	bbb	白白白
贔	bbb	貝貝貝
的	bbd	白勹丶
寒	bbd	宀八丶
贞	bbd	贝卜丶
貞	bbd	貝貝丶
賓	bbd	貝宀丶
賏	bbd	貝貝丶
皞	bbd	白白大
痥	bbe	疒丷儿
皏	bbg	白丷廾
賆	bbg	貝丷廾
鬀	bbg	髟丷弓
癈	bbg	疒癶弓
皆	bbh	白白一
贮	bbh	贝宀一
皖	bbh	白宀一
皕	bbh	白白一
癞	bbi	疒贝木
癩	bbi	疒貝木
褰	bbk	宀八衣
冸	bbl	冫丷丨
實	bbm	宀貝母
贴	bbo	贝卜口
貼	bbo	貝卜口
痁	bbo	疒卜口
痀	bbo	疒勹口
齁	bbo	鼻勹口
宾	bbp	宀八丿
痯	bbp	疒宀尸
賔	bbp	貝宀尸
鬂	bbp	髟八丿
资	bbq	贝冫欠
資	bbq	貝冫欠
皟	bbq	白貝青
购	bbs	贝勹厶
鬃	bbs	髟宀示
疱	bbs	疒勹巳
寘	bbs	宀八十
髱	bbs	髟勹巳
賩	bbs	貝宀示
瘨	bbs	疒八十
賨	bbs	貝宀示
皡	bbs	白白十
鬒	bbs	髟八十
冀	bbt	八匕田
匀	bbt	勹冫√
寅	bbt	宀宀田
瘅	bbt	疒丷田
痶	bbt	疒八冂
賟	bbt	貝八冂
皨	bbt	白白土
赛	bbu	贝宀艹
賽	bbu	貝宀艹
髸	bbu	髟八艹
它	bbv	宀匕乙
貯	bbv	貝宀乙
匂	bbv	勹匕乙
皀	bbv	白匕乙
疕	bbv	疒匕乙
毘	bbv	比比乙
疪	bbv	疒比乙
寶	bbw	宀貝王
贁	bbw	貝貝攵
寳	bbw	宀貝王
鬡	bbx	髟宀心
赚	bby	贝丷聿
賺	bby	貝丷聿
鬑	bby	髟丷聿
凝	bbz	冫匕疋
癡	bbz	疒匕疋
寲	bbz	宀匕疋
守	bcd	宀寸丶
卧	bcd	卜臣丶
疛	bcd	疒寸丶
痋	bcd	疒虫丶
痙	bcg	疒巛工
舆	bcj	八车臼
疬	bcl	疒厂力
账	bcn	贝长乀
赈	bcn	贝辰乀
宸	bcn	宀辰乀
賬	bcn	貝長乀
賑	bcn	貝辰乀
贗	bcn	貝厂鳥
宷	bcn	宀采乀
寀	bcn	宀采乀
痮	bcn	疒長乀
齆	bco	鼻巛口
匘	bcp	匕巛丿
鬣	bcs	髟巛鼠
痔	bct	疒寸土
宦	bcv	宀臣乙
宧	bcv	宀臣乙
癥	bcw	疒彳攵
癑	bcw	疒辰囗
癓	bcw	疒彳攵
鬞	bcw	髟辰囗
齈	bcw	鼻辰囗
贒	bcx	貝臣心
瘙	bcy	疒虫又
赙	bcy	贝寸用
賢	bcy	貝臣又
賻	bcy	貝寸用
赝	bcz	贝厂隹
癧	bcz	疒厂止
瘲	bcz	疒彳疋
癁	bcz	疒彳夂
贋	bcz	貝厂隹
贫	bdb	贝刀八
毙	bdb	比歹匕
寡	bdb	宀刀八
貧	bdb	貝刀八
兺	bdb	八刀匕
鬋	bdb	髟刂丷
实	bdd	宀大丶
负	bdd	贝刀丶
凑	bdd	冫大大
冽	bdd	冫刂歹
痪	bdd	疒大刀
宀	bdd	宀丶丶
負	bdd	貝刀丶
瘓	bdd	疒大刀
寏	bdd	宀大刀
瘈	bdd	疒大刀
賛	bdd	貝大大
凂	bde	冫刀儿
寃	bde	宀刀儿
毚	bde	比刀儿
寷	bdf	宀豆丰
痍	bdg	疒大弓
兴	bdh	八丶一
登	bdh	癶豆一
癸	bdh	癶大一
