a	手	扌手
賸	blb	貝月丷
宠	bld	宀龙丶
卜	bld	卜丨丶
半	ble	丷丨二
鬌	blg	髟月工
北	blh	匕丨一
贵	blh	贝丨一
贿	blh	贝月一
宥	blh	宀月一
貴	blh	貝丨一
賄	blh	貝月一
寵	blh	宀龍一
羋	blh	卜丨一
癆	blh	疒力火
卝	blh	卜丨一
痏	blh	疒月一
皫	blh	白鹿灬
贚	blh	貝龍一
痭	bll	疒月月
鬅	bll	髟月月
齂	bln	鼻隶乀
冲	blo	冫丨口
贺	blo	贝力口
痂	blo	疒力口
賀	blo	貝力口
賗	blo	貝丨口
鬍	blo	髟月口
痝	blp	疒龙丿
赌	blr	贝耂日
审	blr	宀丨日
瘴	blr	疒立日
赣	blr	贝立日
賭	blr	貝耂日
贛	blr	貝立日
瘏	blr	疒耂日
鬐	blr	髟耂日
贑	blr	貝立日
痨	blu	疒力艹
贝	blv	贝丨乙
瘠	blv	疒月人
貝	blv	貝丨乙
鼼	blv	鼻丨乙
贤	bly	贝丨又
宯	blz	宀耂子
痚	blz	疒耂子
賹	bmb	貝皿丷
瘒	bmc	疒冖車
賱	bmc	貝冖車
贯	bmd	贝母丶
貫	bmd	貝母丶
髧	bme	髟冖儿
冯	bmh	冫马一
痫	bmi	疒门木
癇	bml	疒門月
鬜	bml	髟門月
匊	bmn	勹米乀
宩	bmn	宀米乀
痗	bmp	疒母丿
髳	bmp	髟矛丿
瘟	bmr	疒皿日
凕	bmr	冫冖日
癎	bmr	疒門日
鬝	bmr	髟門日
髦	bmv	髟毛乙
宒	bmv	宀毛乙
贐	bmy	貝皿聿
瘿	bnb	疒女贝
癭	bnb	疒女貝
安	bnh	宀女一
痿	bnh	疒女禾
宼	bnh	宀女一
瘘	bnm	疒女米
宴	bnr	宀女日
凄	bns	冫女十
寠	bns	宀女十
瘻	bns	疒女十
疻	bob	疒口八
宺	boc	宀口川
髫	bod	髟口刀
兑	boe	丷口儿
兌	boe	八口儿
占	boh	卜口一
痞	boh	疒口一
疴	boh	疒口一
痦	boh	疒口一
宲	boi	宀口木
赔	bol	贝口立
賠	bol	貝口立
皓	bon	白口牛
宫	boo	宀口口
宮	boo	宀口口
痴	bos	疒口矢
冶	bos	冫口厶
髻	bos	髟口士
贻	bos	贝口厶
貽	bos	貝口厶
癉	bot	疒口田
宭	box	宀口彐
客	boz	宀口夂
赂	boz	贝口夂
賂	boz	貝口夂
痆	bpb	疒尸匕
匆	bpd	勹丿丶
赆	bpd	贝尸丶
宎	bpd	宀丿大
贀	bpf	貝殳匚
兵	bpg	八丿工
匓	bpg	勹殳艮
宅	bph	宀丿一
宕	bph	宀石一
寎	bph	宀爿一
寐	bpi	宀爿木
寱	bpi	宀爿木
冁	bpk	丷尸衣
白	bpl	白丿丨
鼻	bpl	鼻丿丨
痄	bpl	疒丿丨
瘇	bpl	疒丿里
八	bpn	八丿乀
疲	bpn	疒皮乀
疚	bpn	疒丿乀
疫	bpn	疒殳乀
匁	bpn	勹丿乀
癹	bpn	癶殳乀
貱	bpn	貝皮乀
髲	bpn	髟皮乀
官	bpo	宀尸口
寤	bpo	宀爿口
卢	bpp	卜尸丿
勿	bpp	勹丿丿
癜	bpp	疒殳尸
瘺	bpr	疒尸雨
质	bps	贝丿十
貭	bps	貝丿十
匕	bpv	匕丿乙
宄	bpv	宀丿乙
鼽	bpv	鼻丿乙
勹	bpv	勹丿乙
勼	bpv	勹丿乙
疓	bpv	疒丿乙
寝	bpy	宀丬又
寢	bpy	宀爿又
寣	bpy	宀爿言
贬	bpz	贝丿之
貶	bpz	貝丿之
疺	bpz	疒丿之
瘚	bqb	疒欠丷
责	bqd	贝青丶
責	bqd	貝青丶
宊	bqd	宀犬丶
赜	bqf	贝青匚
凊	bqh	冫青一
寈	bqh	宀青一
皘	bqh	白青一
瘶	bqi	疒欠木
癠	bql	疒齊丨
贆	bqq	貝犬犬
赐	brb	贝日勹
赠	brb	贝日丷
瘍	brb	疒日勹
賜	brb	貝日勹
贈	brb	貝日丷
痬	brb	疒日勹
鬄	brb	髟日勹
鬙	brb	髟日丷
齃	brb	鼻日勹
賰	brd	貝日大
鬊	brd	髟日大
皔	brg	白日干
宣	brh	宀日一
疸	brh	疒日一
瘸	brl	疒肉力
痻	brs	疒日氏
癗	brt	疒雨田
瘄	bru	疒日艹
癐	brv	疒日人
鬠	brv	髟日人
皩	brx	白日小
鬘	bry	髟日又
癵	bry	疒肉言
匙	brz	匕日疋
寔	brz	宀日疋
皬	brz	白雨隹
癨	brz	疒雨隹
察	bsb	宀示八
瘵	bsb	疒示八
癢	bsb	疒食丷
贖	bsb	貝士貝
凟	bsb	冫士貝
公	bsd	八厶丶
宗	bsd	宀示丶
勾	bsd	勹厶丶
赎	bsd	贝十大
瘃	bsd	疒豕丶
買	bsd	貝罒丶
皚	bsd	白山豆
贠	bsd	贝厶丶
貟	bsd	貝厶丶
疷	bsd	疒氏丶
貾	bsd	貝氏丶
凒	bsd	冫山豆
貵	bsd	貝厶大
皐	bse	白十水
瘝	bse	疒罒水
匑	bsg	勹身弓
凙	bsg	冫罒干
宏	bsh	宀厶一
貹	bsh	貝生一
髺	bsh	髟舌一
凚	bsi	冫示木
皑	bsj	白山己
贕	bsj	貝士卩
鬟	bsk	髟罒衣
寰	bsk	宀罒衣
癏	bsk	疒罒衣
毕	bsl	比十丨
疤	bsl	疒巳丨
疝	bsl	疒山丨
皁	bsl	白十丨
皅	bsl	白巳丨
赍	bsm	贝十冖
賫	bsm	貝十冖
賷	bsm	貝十冖
家	bsn	宀豕乀
疾	bsn	疒矢乀
癌	bso	疒山口
匔	bso	勹身口
疩	bsp	疒十丿
痺	bsp	疒十丿
巽	bss	八巳巳
賣	bss	貝士罒
瘆	bss	疒彡厶
瘮	bss	疒彡厶
贂	bss	貝彡厶
鬖	bss	髟彡厶
瘁	bst	疒十亠
賥	bst	貝十亠
贲	bsu	贝十艹
賁	bsu	貝十艹
包	bsv	勹巳乙
疹	bsv	疒彡人
冺	bsv	冫氏乙
疧	bsv	疒氏乙
癙	bsv	疒鼠乙
鬛	bsv	髟鼠乙
肄	bsy	匕矢聿
宻	bsy	宀山又
鬚	bsy	髟彡頁
疑	bsz	匕矢疋
凗	bsz	冫山隹
皠	bsz	白山隹
宍	btb	宀亠八
兾	btb	丷田八
皤	btc	白田采
審	btc	宀田采
瘤	btd	疒田刀
瘗	btd	疒土大
瘞	btd	疒土大
髥	bte	髟冂二
皎	btf	白亠父
賋	btf	貝亠父
痹	btg	疒田廾
宜	bth	宀冂一
疽	bth	疒冂一
癅	bth	疒田一
癦	bth	疒土黑
貥	btj	貝亠几
鬤	btk	髟亠衣
赢	btl	贝亠月
宙	btl	宀田丨
贏	btl	貝亠月
赗	btm	贝冂目
賵	btm	貝冂目
富	bto	宀田口
兽	bto	丷田口
匐	bto	勹田口
凋	bto	冫冂口
卨	bto	卜冂口
痌	bto	疒冂口
赒	bto	贝冂口
皗	bto	白冂口
瘑	bto	疒冂口
賙	bto	貝冂口
贄	btp	貝土丿
单	bts	丷田十
凛	bts	冫亠示
癝	bts	疒亠示
卦	btt	卜土土
寓	btt	宀田冂
髯	btt	髟冂土
典	btu	八冂艹
購	btu	貝土艹
赅	btv	贝亠人
痤	btv	疒土人
賅	btv	貝亠人
匄	btv	勹亠乙
痎	btv	疒亠人
賌	btv	貝亠人
髽	btv	髟土人
凉	btx	冫亠小
凐	btx	冫土西
癕	btz	疒亠隹
寞	bud	宀艹大
瘼	bud	疒艹大
鬕	bud	髟艹大
其	bue	八艹二
瘎	buf	疒艹匚
贜	bug	貝艹戈
共	buh	八艹一
瘔	buo	疒艹口
皣	bus	白艹十
癘	but	疒艹冂
瘽	but	疒艹土
贎	but	貝艹冂
鬗	but	髟艹冂
瘩	buv	疒艹人
匒	buv	勹艹人
货	bvb	贝亻匕
宿	bvb	宀人白
貨	bvb	貝亻匕
冷	bvd	冫人丶
勽	bvd	勹人丶
癶	bvd	癶乙丶
皊	bvd	白人丶
宐	bvh	宀乙一
髹	bvi	髟亻木
凃	bvi	冫人木
賖	bvi	貝人木
疮	bvj	疒人卩
癿	bvk	白乙〇
瘉	bvl	疒人月
瘡	bvo	疒人口
匌	bvo	勹人口
冾	bvo	冫人口
凔	bvo	冫人口
賲	bvo	貝亻口
賶	bvo	貝人口
疙	bvp	疒乙丿
赁	bvp	贝亻丿
疥	bvp	疒人丿
疡	bvp	疒乙丿
賃	bvp	貝亻丿
宱	bvp	宀亻丿
赊	bvs	贝人示
瘊	bvs	疒亻矢
疗	bvv	疒乙乙
贪	bvv	贝人乙
貪	bvv	貝人乙
匃	bvv	勹人乙
疭	bvv	疒人人
貤	bvv	貝乙乙
髢	bvv	髟乙乙
痊	bvw	疒人王
賒	bvx	貝人小
贷	bvy	贝亻弋
貸	bvy	貝亻弋
寑	bvy	宀亻又
宝	bwd	宀王丶
齀	bwd	鼻瓦丶
皦	bwf	白攵方
皇	bwh	白王一
瘷	bwi	疒攵木
败	bwn	贝攵乀
兲	bwn	八王乀
痼	bwo	疒囗口
凅	bwo	冫囗口
痐	bwo	疒囗口
卥	bwp	卜囗丿
赘	bwq	贝攵青
贅	bwq	貝攵青
禼	bwt	卜囗冂
皢	bwt	白兀土
髷	bwu	髟囗艹
髡	bwv	髟兀乙
卣	bwv	卜囗乙
鼿	bwv	鼻兀乙
癍	bww	疒王文
卤	bwx	卜囗乂
赟	bwz	贝文止
贇	bwz	貝文止
贘	bxb	貝小貝
贾	bxd	贝西丶
瘛	bxd	疒心刀
痃	bxd	疒玄丶
賈	bxd	貝西丶
匇	bxd	勹夕丶
瘱	bxd	疒心大
皝	bxe	白小儿
賉	bxh	貝血一
癋	bxh	疒心一
宛	bxj	宀夕卩
宰	bxl	宀辛丨
宵	bxl	宀小月
痟	bxl	疒小月
髾	bxl	髟小月
贃	bxl	貝心丨
寧	bxm	宀心皿
寍	bxm	宀心皿
寜	bxm	宀心皿
赏	bxo	贝小口
賞	bxo	貝小口
宓	bxp	宀心丿
癖	bxp	疒辛尸
毖	bxp	比心丿
贉	bxr	貝西日
痣	bxs	疒心士
瘭	bxs	疒西示
寭	bxs	宀心十
寗	bxt	宀心土
癒	bxv	疒心人
痑	bxx	疒夕夕
癔	bxy	疒心音
瘜	bxz	疒心自
皧	bxz	白心爫
兼	byb	丷聿八
癫	byb	疒页八
癲	byb	疒頁八
匍	byd	勹用丶
赡	byd	贝言刀
疣	byd	疒尢丶
贍	byd	貝言刀
冹	byd	冫又丶
貣	byd	貝弋丶
痡	byd	疒用丶
髮	byd	髟又丶
癚	byd	疒言刀
贌	byd	貝业大
贰	bye	贝弋二
貳	bye	貝弋二
訇	byh	勹言一
貮	byh	貝弋一
髪	byh	髟又一
瘖	byh	疒音一
賮	byh	貝聿灬
瘦	byj	疒又臼
痒	byl	疒羊丨
痈	byl	疒用丨
冿	byl	冫聿丨
贩	byp	贝又丿
皈	byp	白又丿
瘕	byp	疒又尸
販	byp	貝又丿
冴	byp	冫牙丿
疨	byp	疒牙丿
寥	bys	宀羽彡
瘳	bys	疒羽彡
賿	bys	貝羽彡
痩	byt	疒羽√
痛	byv	疒用乙
寂	byx	宀又小
寖	byx	宀又彐
兹	byy	丷幺幺
癣	byy	疒鱼羊
癬	byy	疒魚羊
瘫	byz	疒又隹
疵	bzb	疒止匕
髭	bzb	髟止匕
赀	bzb	贝止匕
貲	bzb	貝止匕
皉	bzb	白止匕
賯	bzb	貝子勹
癰	bzc	疒隹巛
皭	bzc	白爫寸
疼	bzd	疒夂丶
髼	bzf	髟夂丰
准	bzh	冫隹一
室	bzh	宀至一
症	bzh	疒止一
痓	bzh	疒至一
寉	bzh	宀隹一
痽	bzh	疒隹一
寪	bzh	宀爫灬
寯	bzk	宀隹凵
鬉	bzk	髟夂凵
癯	bzm	疒隹目
定	bzn	宀疋乀
瘢	bzp	疒舟殳
齅	bzq	鼻自犬
凖	bzs	冫隹十
痠	bzs	疒夂厶
賐	bzs	貝夂厶
皥	bzs	白自十
凌	bzt	冫夂土
癱	bzu	疒隹艹
瘪	bzv	疒自人
癟	bzv	疒自人
凈	bzx	冫爫彐
赋	bzy	贝止弋
賦	bzy	貝止弋
寁	bzy	宀疋聿
鬔	bzz	髟辶夂
蜇	caj	虫扌巾
蛰	cap	虫扌丿
蛇	cbb	虫宀匕
蚐	cbb	虫勹冫
赪	cbb	赤貝卜
蝔	cbb	虫白比
赬	cbb	赤貝卜
螾	cbb	虫宀八
蠀	cbb	虫貝冫
蠙	cbb	虫宀貝
彴	cbd	彳勹丶
虲	cbd	虫卜丶
虳	cbd	虫勹丶
蛽	cbd	虫貝丶
蝜	cbd	虫貝刀
齤	cbd	齒丷大
蜕	cbe	虫丷儿
蜣	cbe	虫丷儿
蛻	cbe	虫八儿
厡	cbe	厂白水
蜪	cbf	虫勹缶
蛢	cbg	虫丷廾
軿	cbg	車丷廾
輧	cbg	車丷廾
蠈	cbg	虫貝戈
蛨	cbh	虫白一
衖	cbh	彳八一
輐	cbh	車宀一
輿	cbj	車八臼
軰	cbl	車匕丨
辖	cbo	车宀口
轄	cbo	車宀口
蛅	cbo	虫卜口
蚼	cbo	虫勹口
軥	cbo	車勹口
螛	cbo	虫宀口
齣	cbo	齒勹口
轳	cbp	车卜尸
輨	cbp	車宀尸
螕	cbp	虫比丿
尊	cbq	寸丷酉
蝤	cbq	虫丷酉
輶	cbq	車丷酉
蠤	cbq	虫丷酉
徇	cbr	彳勹日
蝖	cbr	虫宀日
蚣	cbs	虫八厶
龅	cbs	齿勹巳
齙	cbs	齒勹巳
彸	cbs	彳八厶
蚫	cbs	虫勹巳
徖	cbs	彳宀示
軳	cbs	車勹巳
螏	cbs	虫疒矢
蟦	cbs	虫貝十
蟤	cbs	虫八巳
轒	cbs	車貝十
齻	cbs	齒八十
蝉	cbt	虫丷田
蜔	cbt	虫勹田
蜞	cbu	虫八艹
輁	cbu	車八艹
蚍	cbv	虫比乙
龀	cbv	齿匕乙
齔	cbv	齒匕乙
蟘	cbv	虫貝亻
蝗	cbw	虫白王
徨	cbw	彳白王
兏	cbw	厂卜兀
原	cbx	厂白小
蜜	cbx	虫宀心
蜿	cbx	虫宀夕
軙	cby	車卜又
螆	cby	虫丷幺
輷	cby	車勹言
螊	cby	虫丷聿
従	cbz	彳丷疋
蝊	cbz	虫宀疋
蟲	ccc	虫虫虫
轟	ccc	車車車
蟵	ccc	虫厂寸
厵	ccc	厂厂厂
赫	ccd	赤赤丶
辱	ccd	辰寸丶
蜃	ccd	虫辰丶
赨	ccd	赤虫丶
臩	ccd	臣臣大
蠺	ccd	虫虫大
螶	ccf	虫虫匚
徑	ccg	彳巛工
輕	ccg	車巛工
蛵	ccg	虫巛工
蠽	ccg	虫虫戈
蛎	cch	虫厂一
衟	cch	彳巛一
螙	cci	虫虫木
轈	cci	車巛木
轭	ccj	车厂卩
蠶	ccj	虫虫旡
軛	ccj	車厂卩
蚅	ccj	虫厂卩
螹	ccj	虫車斤
厍	ccl	厂车丨
厙	ccl	厂車丨
蛼	ccl	虫車丨
蟊	ccm	虫虫矛
蠠	ccm	虫虫面
蜄	ccn	虫辰乀
蠹	ccp	虫虫石
螱	ccp	虫寸尸
蠧	ccp	虫虫石
蟨	ccq	虫厂欠
蟩	ccq	虫厂欠
蠢	ccr	虫虫日
蠡	ccs	虫虫豕
轉	ccs	車寸十
蠟	ccs	虫巛鼠
蟁	ccs	虫虫氏
蟸	ccs	虫虫豕
待	cct	彳寸土
辎	cct	车巛田
蝱	cct	虫虫亠
蠣	ccu	虫厂艹
臦	ccv	臣臣乙
蝨	ccv	虫虫乙
螫	ccw	虫赤攵
螡	ccw	虫虫文
螈	ccx	虫厂小
蟳	ccx	虫寸彐
蜸	ccy	虫臣又
轛	ccy	車寸业
蠿	ccy	虫虫幺
螽	ccz	虫虫夂
蠫	ccz	虫虫豸
蠭	ccz	虫虫辶
轣	ccz	車厂止
厕	cdb	厂刂贝
蛱	cdb	虫大丷
蚡	cdb	虫刀八
蚠	cdb	虫刀八
厠	cdb	厂刂貝
厨	cdc	厂豆寸
州	cdd	川丶丶
辇	cdd	车大大
辏	cdd	车大大
轫	cdd	车刀丶
軔	cdd	車刀丶
輦	cdd	車大大
輳	cdd	車大大
軚	cdd	車大丶
蛚	cdd	虫刂歹
蝅	cdd	虫大大
輓	cde	車刀儿
蛪	cdf	虫刀丰
齧	cdf	齒刀丰
蛦	cdg	虫大弓
蚕	cdh	虫大一
蚨	cdh	虫大一
蜊	cdh	虫刂禾
蝲	cdi	虫刂木
蛫	cdj	虫刀卩
蜭	cdj	虫刀臼
輡	cdj	車刀臼
蚪	cdl	虫斗丨
蜯	cdl	虫大丨
蛍	cdm	虫丶冖
轪	cdn	车大乀
軑	cdn	車大乀
徛	cdo	彳大口
輢	cdo	車大口
齮	cdo	齒大口
轶	cdp	车大丿
軼	cdp	車大丿
厃	cdp	厂刀丿
虭	cdp	虫刀丿
蛈	cdp	虫大丿
镻	cdp	镸大丿
彻	cdt	彳刀土
蝰	cdt	虫大土
軮	cdt	車大冂
蛺	cdv	虫大人
蚗	cdv	虫大乙
往	cdw	彳丶王
蛀	cdw	虫丶王
軴	cdw	車丶王
蚁	cdx	虫丶乂
蟟	cdx	虫大小
镽	cdx	镸大小
轑	cdx	車大小
蝋	cdy	虫丶用
軣	ced	車水丶
蛷	ced	虫水丶
蝡	ced	虫而大
輭	ced	車而大
衍	ceh	彳氵一
輀	cel	車而丨
軦	ceo	車儿口
虶	cev	虫二乙
寿	cfd	寸丰丶
蜚	cfd	虫非丶
螂	cfg	虫阝艮
蠁	cfg	虫阝艮
徘	cfh	彳非一
厞	cfh	厂非一
衐	cfh	彳匚一
輫	cfh	車非一
螴	cfi	虫阝木
辈	cfl	车非丨
蚌	cfl	虫丰丨
輩	cfl	車非丨
厒	cfl	厂缶丨
蚥	cfn	虫父乀
蝘	cfn	虫匚女
轡	cfo	車糹口
尀	cfo	寸匚口
彷	cfp	彳方丿
蚄	cfp	虫方丿
螦	cfq	虫糸青
螺	cft	虫糸田
螃	cft	虫方亠
徬	cft	彳方亠
辄	cfv	车耳乙
輒	cfv	車耳乙
蚷	cfv	虫匚乙
軭	cfw	車匚王
輙	cfy	車耳又
齱	cfy	齒耳又
蝣	cfz	虫方子
蛾	cga	虫戈扌
蝷	cgb	虫广丷
融	cgd	虫鬲丶
蜋	cgd	虫艮丶
螝	cgd	虫鬼丶
輚	cgg	車戈戈
虹	cgh	虫工一
蚶	cgh	虫甘一
巠	cgh	巛工一
衎	cgh	彳干一
蚈	cgh	虫廾一
輍	cgh	車谷一
螖	cgh	虫骨一
蟅	cgh	虫广灬
厩	cgj	厂艮旡
蛩	cgj	虫工几
蝍	cgj	虫艮卩
轩	cgl	车干丨
蚓	cgl	虫工丨
軒	cgl	車干丨
厈	cgl	厂干丨
虷	cgl	虫干丨
螎	cgl	虫鬲丨
很	cgn	彳艮乀
龈	cgn	齿艮乀
齦	cgn	齒艮乀
蛌	cgn	虫瓜乀
軱	cgn	車瓜乀
蛝	cgn	虫艮乀
蝛	cgn	虫戈女
蜮	cgo	虫戈口
螗	cgo	虫广口
輱	cgo	車戈口
赯	cgo	赤广口
彿	cgp	彳弓丿
螷	cgp	虫广丿
蟙	cgr	虫戈日
载	cgs	车戈十
載	cgs	車戈十
蛓	cgs	虫戈十
蠯	cgs	虫广十
轻	cgv	车工乙
径	cgv	彳工乙
蠊	cgy	虫广聿
蟣	cgy	虫戈幺
齹	cgy	齒工羊
蠘	cgz	虫戈隹
虾	chb	虫一卜
蚽	chb	虫一卜
蚲	chb	虫一丷
軯	chb	車一丷
转	chd	车一丶
螓	chd	虫禾大
蝌	chd	虫禾斗
蟥	chd	虫黄丶
轃	chd	車禾大
蟔	chd	虫黑丶
行	chh	彳一一
衏	chh	彳一一
厤	chh	厂禾禾
蝵	chh	虫禾火
軘	chk	車一凵
臣	chl	臣一丨
赤	chl	赤一丨
車	chl	車一丨
長	chl	長一丨
镸	chl	镸一丨
螢	chm	虫火冖
轤	chm	車虍皿
蠦	chm	虫虍皿
厂	chp	厂一丿
厉	chp	厂一丿
辰	chp	辰一丿
虿	chp	虫一丿
蜏	chp	虫禾丿
螐	chp	虫灬丿
螔	chp	虫虍丿
蟱	chp	虫灬丿
蜧	chq	虫户犬
転	chs	車一厶
辆	cht	车一冂
蝙	cht	虫户冂
輛	cht	車一冂
蛃	cht	虫一冂
徧	cht	彳户冂
輌	cht	車一冂
蜽	cht	虫一冂
蠒	cht	虫一冂
镾	cht	镸一冂
车	chv	车一乙
厅	chv	厂一乙
寸	chv	寸一乙
虰	chv	虫一乙
軶	chv	車户乙
齛	chv	齒一乙
蚖	chw	虫一兀
蝁	chy	虫一业
蟭	chz	虫灬隹
徕	cib	彳木丷
轢	cib	車木白
蜙	cib	虫木八
蟍	cid	虫木刀
蟝	cie	虫木氵
蝶	cih	虫木一
術	cih	彳木一
蠑	cih	虫木火
辳	cii	辰木木
蜥	cij	虫木斤
蜤	cij	虫木斤
厢	cim	厂木目
蝚	cim	虫木矛
輮	cim	車木矛
蚞	cin	虫木乀
蟂	cin	虫木鳥
徚	cio	彳木口
蛛	cip	虫木丿
蝀	cir	虫木日
巢	cit	巛木田
蜾	cit	虫木田
巣	cit	巛木田
輠	cit	車木田
蝾	ciu	虫木艹
徠	civ	彳木人
蚻	civ	虫木乙
蠜	cix	虫木乂
齼	ciz	齒木疋
厮	cjb	厂斤八
蜷	cjb	虫卩丷
蟴	cjb	虫斤八
蟖	cjb	虫斤八
蟕	cjb	虫角匕
轝	cjb	車臼八
軓	cjd	車几丶
蚸	cjd	虫斤丶
蜺	cje	虫臼儿
輗	cje	車臼儿
齯	cje	齒臼儿
衔	cjh	彳金一
螮	cjh	虫巾一
齨	cjh	齒臼一
齭	cjh	齒斤户
蛳	cjl	虫巾丨
蚚	cjl	虫斤丨
龂	cjl	齿斤丨
齗	cjl	齒斤丨
蟹	cjn	虫角牛
蠏	cjn	虫角牛
螄	cjp	虫巾丿
厄	cjv	厂卩乙
蚬	cjv	虫见乙
虮	cjv	虫几乙
蜆	cjv	虫見乙
蟐	cjx	虫巾小
御	cjz	彳卩止
蜬	cke	虫凵水
蠞	ckj	虫竹卩
辕	ckt	车衣土
蛯	clb	虫耂匕
螣	clb	虫月丷
螚	clb	虫月匕
厐	cld	厂龙丶
蠪	cld	虫龍丶
齿	clh	齿丨一
厘	clh	厂里一
齒	clh	齒丨一
蚏	clh	虫月一
蛕	clh	虫月一
衚	clh	彳月一
蟧	clh	虫力火
徿	clh	彳龍一
蠬	clh	虫龍一
蛠	cll	虫力力
輣	cll	車月月
徸	cll	彳立里
蝴	clo	虫月口
蚛	clo	虫丨口
历	clp	厂力丿
厖	clp	厂龙丿
蛖	clp	虫龙丿
蟑	clr	虫立日
赭	clr	赤耂日
蝫	clr	虫耂日
螧	clr	虫耂日
蜐	cls	虫力厶
蜰	cls	虫月巳
蜟	clt	虫月亠
蝟	clt	虫月田
螪	clt	虫立冂
農	clu	辰丨艹
虫	clv	虫丨乙
辘	clv	车鹿乙
轆	clv	車鹿乙
虯	clv	虫丨乙
螰	clv	虫鹿乙
蝑	clz	虫月疋
螠	cmb	虫皿丷
齸	cmb	齒皿丷
蠱	cmc	虫冖虫
轞	cmc	車皿臣
齳	cmc	齒冖車
螞	cmd	虫馬丶
蛊	cmh	虫皿一
蚂	cmh	虫马一
蝒	cmh	虫面一
軍	cml	車冖丨
循	cmp	彳目丿
蝞	cmp	虫目尸
輴	cmp	車目丿
蝳	cmq	虫母青
螟	cmr	虫冖日
蠲	cms	虫皿罒
蝿	cmt	虫黽田
蝇	cmv	虫黾乙
蚝	cmv	虫毛乙
蠅	cmv	虫黽乙
軞	cmv	車毛乙
轀	cmw	車皿囗
辚	cmx	车米夕
轔	cmx	車米夕
蜢	cmz	虫皿子
蠳	cnb	虫女貝
蜲	cnh	虫女禾
鵆	cnh	彳鳥一
蝼	cnm	虫女米
蛑	cns	虫牛厶
螻	cns	虫女十
轵	cob	车口八
軹	cob	車口八
厑	cob	厂口匕
齞	cob	齒口八
虽	cod	虫口丶
蜈	cod	虫口大
龆	cod	齿口刀
轺	cod	车口刀
軺	cod	車口刀
齠	cod	齒口刀
蛁	cod	虫口刀
辑	cof	车口耳
輯	cof	車口耳
衙	coh	彳口一
轲	coh	车口一
龉	coh	齿口一
蚵	coh	虫口一
軎	coh	車口一
軻	coh	車口一
齬	coh	齒口一
齶	coh	齒口一
厛	coj	厂口斤
蜎	col	虫口月
蜘	cos	虫口矢
邕	cos	巛口巳
轱	cos	车口十
蛄	cos	虫口十
軲	cos	車口十
軩	cos	車口厶
蛣	cos	虫口士
蟢	cos	虫口士
齝	cos	齒口厶
蜗	cot	虫口冂
蟬	cot	虫口田
辴	cot	辰口田
蛿	cov	虫口人
徎	cow	彳口王
輑	cox	車口彐
蟮	coy	虫口羊
辂	coz	车口夂
輅	coz	車口夂
蛒	coz	虫口夂
轷	cpb	车丿丷
軤	cpb	車丿丷
蚭	cpb	虫尸匕
螀	cpc	虫丬寸
螿	cpc	虫爿寸
蟿	cpc	虫殳車
轚	cpc	車殳車
蠾	cpc	虫尸虫
采	cpd	采丿丶
釆	cpd	采丿丶
镺	cpd	镸丿大
蚯	cpg	虫丿工
长	cph	长丿一
厇	cph	厂丿一
虴	cph	虫丿一
衝	cph	彳丿一
辗	cpk	车尸衣
輾	cpk	車尸衣
镼	cpk	镸尸凵
川	cpl	川丿丨
蚱	cpl	虫丿丨
將	cpl	寸爿月
厏	cpl	厂丿丨
蝩	cpl	虫丿里
齚	cpl	齒丿丨
彼	cpn	彳皮乀
役	cpn	彳殳乀
镹	cpn	镸丿乀
蚇	cpn	虫尸乀
軗	cpn	車殳乀
蚾	cpn	虫皮乀
釈	cpn	采尸乀
徲	cpn	彳尸牛
臨	cpo	臣丿口
蜛	cpo	虫尸口
轿	cpp	车丿丿
彳	cpp	彳丿丿
蛗	cpp	虫丿尸
蜵	cpp	虫片片
尉	cps	寸尸示
轂	cps	車殳士
厜	cps	厂丿士
軠	cps	車丿士
螜	cps	虫殳士
龋	cpt	齿丿冂
轎	cpt	車丿冂
齲	cpt	齒丿冂
蝺	cpt	虫丿冂
蟜	cpt	虫丿冂
轨	cpv	车丿乙
軌	cpv	車丿乙
轹	cpx	车丿小
蝂	cpy	虫片又
龌	cpz	齿尸至
齷	cpz	齒尸至
蜁	cpz	虫丿疋
轏	cpz	車尸子
厥	cqb	厂欠丷
厌	cqd	厂犬丶
螸	cqg	虫欠谷
蜻	cqh	虫青一
輏	cqh	車酉一
輤	cqh	車青一
齾	cqh	齒犬虍
蛴	cql	虫齐丨
厭	cql	厂犬月
蠐	cql	虫齊丨
靥	cqm	厂犬面
软	cqn	车欠乀
軟	cqn	車欠乀
赥	cqn	赤欠乀
蠍	cqr	虫欠日
厣	cqt	厂犬田
厴	cqt	厂犬田
蝎	crb	虫日勹
蜴	crb	虫日勹
辊	crb	车日比
輥	crb	車日比
蜫	crb	虫日比
蝪	crb	虫日勹
輰	crb	車日勹
輵	crb	車日勹
得	crc	彳日寸
蝽	crd	虫日大
蠕	cre	虫雨而
忁	cre	彳日水
轜	cre	車雨而
蚎	crh	虫日一
辒	crm	车日皿
蝹	crm	虫日皿
輼	crm	車日皿
齥	crp	齒日丿
厬	crr	厂日日
蜡	cru	虫日艹
厝	cru	厂日艹
螬	cru	虫日艹
徣	cru	彳日艹
齰	cru	齒日艹
徻	crv	彳日人
轌	crx	車雨彐
蟃	cry	虫日又
徥	crz	彳日疋
蝭	crz	虫日疋
蜀	csb	虫罒勹
厧	csb	厂十八
蠋	csc	虫罒虫
导	csd	寸巳丶
蚀	csd	虫饣丶
